"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Animations\Spinner\Spinner.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 4, 14
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Animations\Spinner\Spinner.scss", "SCSS", 0, 0, 33, 0, 0, 4, 37
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookCarousel\BookCarousel.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 5, 31
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookCarousel\BookCarousel.scss", "SCSS", 0, 0, 31, 0, 0, 1, 32
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookDetailsInput\BookDetailsInput.jsx", "JavaScript JSX", 0, 58, 0, 0, 6, 8, 72
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookDetailsInput\BookDetailsInput.scss", "SCSS", 0, 0, 41, 0, 0, 5, 46
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Button\Button.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 3, 13
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Button\Button.scss", "SCSS", 0, 0, 35, 0, 0, 3, 38
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\CollapsableMenu\CollapsableMenu.jsx", "JavaScript JSX", 0, 34, 0, 0, 2, 7, 43
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\CollapsableMenu\CollapsableMenu.scss", "SCSS", 0, 0, 77, 0, 4, 6, 87
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\DropDown\DropDown.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 10, 61
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\DropDown\DropDown.scss", "SCSS", 0, 0, 112, 0, 0, 6, 118
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Form\InputField\InputField.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 9, 67
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Form\InputField\InputField.scss", "SCSS", 0, 0, 45, 0, 0, 2, 47
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageDailyMessage\HomePageDailyMessage.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 4, 21
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageDailyMessage\HomePageDailyMessage.scss", "SCSS", 0, 0, 56, 0, 0, 4, 60
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageSearch\HomePageSearch.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 5, 18
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageSearch\HomePageSearch.scss", "SCSS", 0, 0, 37, 0, 0, 3, 40
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\ModalWindow\ModalWindow.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 4, 20
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\ModalWindow\ModalWindow.scss", "SCSS", 0, 0, 86, 0, 0, 3, 89
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\NavButton\NavButton.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 4, 22
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\NavButton\NavButton.scss", "SCSS", 0, 0, 53, 0, 0, 3, 56
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Navbar\Navbar.jsx", "JavaScript JSX", 0, 90, 0, 0, 6, 12, 108
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Navbar\Navbar.scss", "SCSS", 0, 0, 82, 0, 0, 3, 85
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PaginatedView\PaginatedView.jsx", "JavaScript JSX", 0, 49, 0, 0, 1, 11, 61
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PaginatedView\PaginatedView.scss", "SCSS", 0, 0, 79, 0, 0, 3, 82
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PersonCard\PersonCard.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 4, 18
