"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\RemoveUsers\RemoveUsers.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\RemoveUsers\RemoveUsers.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\UpdateBooks\UpdateBooks.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 3, 9, 43
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\UpdateBooks\UpdateBooks.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\UpdateUsers\UpdateUsers.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 1, 5, 29
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\UpdateUsers\UpdateUsers.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\WelcomeDashboard\WelcomeDashboard.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\WelcomeDashboard\WelcomeDashboard.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\SocialBadge\SocialBadge.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\SocialBadge\SocialBadge.scss", "SCSS", 0, 0, 41, 0, 0, 0, 0, 4, 45
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Animations\Spinner\Spinner.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Animations\Spinner\Spinner.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 4, 37
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookCarousel\BookCarousel.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookCarousel\BookCarousel.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookDetailsInput\BookDetailsInput.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 4, 8, 72
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookDetailsInput\BookDetailsInput.scss", "SCSS", 0, 0, 42, 0, 0, 0, 1, 3, 46
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookFilter copy\BookFilter.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 3, 12, 75
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookFilter\BookFilter.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 3, 12, 75
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookFilter\BookFilter.scss", "SCSS", 0, 0, 41, 0, 0, 0, 0, 1, 42
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookRemoveRow\BookRemoveRow.jsx", "JavaScript JSX", 0, 76, 0, 0, 0, 0, 2, 11, 89
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookRemoveRow\BookRemoveRow.scss", "SCSS", 0, 0, 70, 0, 0, 0, 1, 7, 78
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookUpdateRow\BookUpdateRow.jsx", "JavaScript JSX", 0, 195, 0, 0, 0, 0, 6, 22, 223
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\BookUpdateRow\BookUpdateRow.scss", "SCSS", 0, 0, 290, 0, 0, 0, 10, 13, 313
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Button\Button.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Button\Button.scss", "SCSS", 0, 0, 53, 0, 0, 0, 0, 6, 59
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\CollapsableMenu\CollapsableMenu.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 2, 7, 43
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\CollapsableMenu\CollapsableMenu.scss", "SCSS", 0, 0, 77, 0, 0, 0, 4, 6, 87
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\DropDown\DropDown.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 5, 11, 67
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\DropDown\DropDown.scss", "SCSS", 0, 0, 118, 0, 0, 0, 0, 5, 123
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Form\EditableField\EditableField.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 2, 9, 50
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Form\EditableField\EditableField.scss", "SCSS", 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Form\InputField\InputField.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 0, 0, 9, 67
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Form\InputField\InputField.scss", "SCSS", 0, 0, 26, 0, 0, 0, 19, 2, 47
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageDailyMessage\HomePageDailyMessage.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageDailyMessage\HomePageDailyMessage.scss", "SCSS", 0, 0, 56, 0, 0, 0, 0, 4, 60
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageSearch\HomePageSearch.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 2, 5, 18
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\HomePageSearch\HomePageSearch.scss", "SCSS", 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\ModalWindow\ModalWindow.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\ModalWindow\ModalWindow.scss", "SCSS", 0, 0, 110, 0, 0, 0, 0, 6, 116
